id	prim	sec
151	3	3
151	0	0
151	0	0
151	1	1
151	0	0
151	1	1
151	1	1
151	0	0
151	1	1
151	0	1
152	1	1
152	0	0
152	1	1
152	0.5	0
152	0	0
152	1	1
152	1	1
152	1	0
152	1	1
152	0.5	1
153	0	0
153	0	0
153	1	1
153	0	0
153	0	0
153	0	0
153	1	1
153	1	1
153	0	0
153	1	0
154	2	3
154	0	0
154	1	1
154	1	1
154	0	0
154	1	1
154	1	1
154	0	0
154	1	1
154	0	0
155	0	0
155	1	0
155	1	1
155	1	1
155	1	1
155	1	0
155	1	1
155	0	0
155	1	1
155	1	0
156	3	3
156	0	0
156	1	1
156	0	0
156	0	0
156	1	1
156	1	1
156	0	0
156	1	1
156	1	1
157	0	0
157	0	0
157	1	1
157	0	0
157	0	0
157	1	1
157	1	1
157	0	0
157	1	0
157	0	0
158	0	0
158	1	1
158	0	0
158	1	1
158	0	0
158	1	1
158	1	1
158	0	0
158	0	0
158	0	0
159	3	3
159	0	0
159	0	0
159	0	0
159	0	0
159	0	0
159	1	1
159	0	0
159	1	1
159	0.5	0
160	3	2
160	0	0
160	1	1
160	0	0
160	0	0
160	1	1
160	0	1
160	1	0
160	1	1
160	0.5	0
161	3	3
161	0	0
161	0	0
161	0	0
161	0	0
161	1	1
161	1	1
161	1	1
161	1	1
161	1	1
162	3	3
162	1	1
162	1	0
162	0	0
162	0	0
162	1	1
162	1	1
162	1	1
162	0	0
162	1	1
163	3	3
163	0	0
163	1	1
163	1	1
163	0	0
163	1	1
163	1	1
163	1	1
163	0	0
163	1	0
164	3	3
164	1	1
164	1	1
164	0	0
164	0	0
164	1	1
164	1	1
164	0	0
164	0	0
164	1	1
165	3	3
165	1	1
165	1	1
165	0	0
165	0	0
165	1	1
165	1	1
165	1	1
165	1	1
165	1	1
166	2	3
166	0	0
166	0	0
166	0	0
166	1	1
166	1	1
166	0	0
166	1	1
166	1	1
166	1	1
167	1	3
167	0	0
167	1	1
167	1	1
167	0	0
167	1	1
167	1	1
167	1	1
167	0	0
167	1	1
168	0	0
168	0	1
168	1	1
168	1	1
168	0	0
168	0	0
168	0	1
168	0	0
168	1	1
168	0	0
169	0	0
169	0	0
169	1	1
169	1	1
169	0	0
169	0	1
169	0	0
169	0	0
169	1	1
169	0.5	1
171	3	3
171	1	1
171	0	0
171	1	1
171	0	0
171	1	1
171	1	1
171	0	0
171	0	0
171	NA	NA
172	0	0
172	0	0
172	1	1
172	0	0
172	0	0
172	1	1
172	1	1
172	0	0
172	0	0
172	1	1
173	0	0
173	0	0
173	0	0
173	0	0
173	0	0
173	0	0
173	0	0
173	1	1
173	1	1
173	0	0
174	3	3
174	0	0
174	0	0
174	1	1
174	1	1
174	1	1
174	1	1
174	1	1
174	1	1
174	1	1
175	0	0
175	1	1
175	1	1
175	1	1
175	0	0
175	1	1
175	1	1
175	1	1
175	1	1
175	1	1
176	1.5	0.5
176	0	0
176	1	1
176	1	0
176	1	0
176	1	1
176	1	1
176	0	0
176	1	1
176	0	0
177	0	0
177	1	1
177	0	0
177	0	0
177	0	0
177	1	1
177	1	1
177	0	0
177	1	1
177	0	0
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
